relative_path,scene_type,continent,label_name,lat_bin,lon_bin
Africa\shard0_13539.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_30079.jpg,outdoor,Africa,Africa,6,21
Africa\shard0_32653.jpg,outdoor,Africa,Africa,9,18
Africa\shard0_31972.jpg,outdoor,Africa,Africa,6,21
Africa\shard0_30084.jpg,outdoor,Africa,Africa,12,19
Africa\shard0_31966.jpg,outdoor,Africa,Africa,10,21
Africa\shard0_30653.jpg,outdoor,Africa,Africa,11,21
Africa\shard0_30824.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_30097.jpg,outdoor,Africa,Africa,10,21
Africa\shard0_30819.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_12409.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_28388.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_30170.jpg,outdoor,Africa,Africa,10,16
Africa\shard0_31006.jpg,outdoor,Africa,Africa,5,19
Africa\shard0_31029.jpg,outdoor,Africa,Africa,10,21
Africa\shard0_32756.jpg,outdoor,Africa,Africa,5,19
Africa\shard0_14694.jpg,outdoor,Africa,Africa,9,18
Africa\shard0_30212.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_33177.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_33136.jpg,outdoor,Africa,Africa,12,21
Africa\shard0_33279.jpg,outdoor,Africa,Africa,6,21
Africa\shard0_32894.jpg,outdoor,Africa,Africa,5,19
Africa\shard0_32672.jpg,outdoor,Africa,Africa,6,22
Africa\shard0_32157.jpg,outdoor,Africa,Africa,8,20
Africa\shard0_09036.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_30087.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_32090.jpg,outdoor,Africa,Africa,10,17
Africa\shard0_31106.jpg,outdoor,Africa,Africa,6,19
Africa\shard0_30454.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_14650.jpg,outdoor,Africa,Africa,5,20
Africa\shard0_33215.jpg,outdoor,Africa,Africa,7,21
Africa\shard0_31730.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_31552.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_28365.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_30871.jpg,outdoor,Africa,Africa,10,16
Africa\shard0_30268.jpg,outdoor,Africa,Africa,6,21
Africa\shard0_30367.jpg,outdoor,Africa,Africa,9,21
Africa\shard0_33116.jpg,outdoor,Africa,Africa,7,22
Africa\shard0_31545.jpg,outdoor,Africa,Africa,7,21
Africa\shard0_30632.jpg,outdoor,Africa,Africa,10,21
Africa\shard0_30201.jpg,outdoor,Africa,Africa,9,18
Africa\shard0_32598.jpg,outdoor,Africa,Africa,10,16
Africa\shard0_32951.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_31294.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_31789.jpg,outdoor,Africa,Africa,9,18
Africa\shard0_32609.jpg,outdoor,Africa,Africa,10,16
Africa\shard0_32482.jpg,outdoor,Africa,Africa,11,18
Africa\shard0_16208.jpg,outdoor,Africa,Africa,9,18
Africa\shard0_32714.jpg,outdoor,Africa,Africa,6,21
Africa\shard0_33128.jpg,outdoor,Africa,Africa,10,17
Africa\shard0_32677.jpg,outdoor,Africa,Africa,10,18
Africa\shard0_26856.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_32489.jpg,outdoor,Africa,Africa,11,21
Africa\shard0_31566.jpg,outdoor,Africa,Africa,6,21
Africa\shard0_30428.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_32282.jpg,outdoor,Africa,Africa,11,16
Africa\shard0_08121.jpg,outdoor,Africa,Africa,5,19
Africa\shard0_32261.jpg,outdoor,Africa,Africa,11,21
Africa\shard0_30231.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_33348.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_30800.jpg,outdoor,Africa,Africa,11,21
Africa\shard0_31580.jpg,outdoor,Africa,Africa,11,21
Africa\shard0_31352.jpg,outdoor,Africa,Africa,9,21
Africa\shard0_26391.jpg,outdoor,Africa,Africa,6,19
Africa\shard0_25874.jpg,outdoor,Africa,Africa,5,20
Africa\shard0_32698.jpg,outdoor,Africa,Africa,10,18
Africa\shard0_33627.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_33538.jpg,outdoor,Africa,Africa,6,21
Africa\shard0_24709.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_30003.jpg,outdoor,Africa,Africa,5,19
Africa\shard0_30069.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_05998.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_32402.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_33618.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_31249.jpg,outdoor,Africa,Africa,9,21
Africa\shard0_32413.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_33907.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_30337.jpg,outdoor,Africa,Africa,10,18
Africa\shard0_30032.jpg,outdoor,Africa,Africa,5,20
Africa\shard0_32255.jpg,outdoor,Africa,Africa,7,20
Africa\shard0_32743.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_31181.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_31561.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_33855.jpg,outdoor,Africa,Africa,9,19
Africa\shard0_33518.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_31592.jpg,outdoor,Africa,Africa,5,20
Africa\shard0_31769.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_30540.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_30004.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_30421.jpg,outdoor,Africa,Africa,5,19
Africa\shard0_32958.jpg,outdoor,Africa,Africa,10,21
Africa\shard0_32585.jpg,outdoor,Africa,Africa,9,21
Africa\shard0_07736.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_11798.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_31594.jpg,outdoor,Africa,Africa,9,21
Africa\shard0_31762.jpg,outdoor,Africa,Africa,6,19
Africa\shard0_15766.jpg,outdoor,Africa,Africa,9,17
Africa\shard0_30890.jpg,outdoor,Africa,Africa,7,20
Africa\shard0_24132.jpg,outdoor,Africa,Africa,6,22
Africa\shard0_33045.jpg,outdoor,Africa,Africa,5,20
Africa\shard0_33401.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_33465.jpg,outdoor,Africa,Africa,5,19
Africa\shard0_31269.jpg,outdoor,Africa,Africa,12,21
Africa\shard0_30031.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_30125.jpg,outdoor,Africa,Africa,6,19
Africa\shard0_12713.jpg,outdoor,Africa,Africa,9,22
Africa\shard0_26684.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_32871.jpg,outdoor,Africa,Africa,5,19
Africa\shard0_30399.jpg,outdoor,Africa,Africa,6,21
Africa\shard0_13269.jpg,outdoor,Africa,Africa,11,17
Africa\shard0_32905.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_33536.jpg,outdoor,Africa,Africa,12,21
Africa\shard0_31585.jpg,outdoor,Africa,Africa,11,21
Africa\shard0_12895.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_31203.jpg,outdoor,Africa,Africa,9,18
Africa\shard0_32693.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_20189.jpg,outdoor,Africa,Africa,12,21
Africa\shard0_30509.jpg,outdoor,Africa,Africa,9,21
Africa\shard0_25139.jpg,outdoor,Africa,Africa,11,16
Africa\shard0_29732.jpg,outdoor,Africa,Africa,5,19
Africa\shard0_31686.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_29967.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_30891.jpg,outdoor,Africa,Africa,5,19
Africa\shard0_31068.jpg,outdoor,Africa,Africa,11,21
Africa\shard0_33476.jpg,outdoor,Africa,Africa,5,20
Africa\shard0_31749.jpg,outdoor,Africa,Africa,9,21
Africa\shard0_31348.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_31733.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_33616.jpg,outdoor,Africa,Africa,11,21
Africa\shard0_31827.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_32197.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_30447.jpg,outdoor,Africa,Africa,9,21
Africa\shard0_30984.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_31380.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_33320.jpg,outdoor,Africa,Africa,7,20
Africa\shard0_31980.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_33430.jpg,outdoor,Africa,Africa,12,21
Africa\shard0_33741.jpg,outdoor,Africa,Africa,7,20
Africa\shard0_29420.jpg,outdoor,Africa,Africa,12,18
Africa\shard0_30420.jpg,outdoor,Africa,Africa,11,21
Africa\shard0_32629.jpg,outdoor,Africa,Africa,11,21
Africa\shard0_32602.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_30382.jpg,outdoor,Africa,Africa,6,22
Africa\shard0_04463.jpg,outdoor,Africa,Africa,12,18
Africa\shard0_03542.jpg,outdoor,Africa,Africa,6,19
Africa\shard0_22317.jpg,outdoor,Africa,Africa,7,19
Africa\shard0_32920.jpg,outdoor,Africa,Africa,5,20
Africa\shard0_32247.jpg,outdoor,Africa,Africa,10,16
Africa\shard0_12632.jpg,outdoor,Africa,Africa,12,21
Africa\shard0_28390.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_32991.jpg,outdoor,Africa,Africa,7,20
Africa\shard0_32643.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_33760.jpg,outdoor,Africa,Africa,7,22
Africa\shard0_33280.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_33876.jpg,outdoor,Africa,Africa,7,20
Africa\shard0_32581.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_00435.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_10537.jpg,outdoor,Africa,Africa,12,21
Africa\shard0_33879.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_33142.jpg,outdoor,Africa,Africa,10,19
Africa\shard0_32117.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_32479.jpg,outdoor,Africa,Africa,10,16
Africa\shard0_32160.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_30200.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_30946.jpg,outdoor,Africa,Africa,11,21
Africa\shard0_30651.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_28715.jpg,outdoor,Africa,Africa,9,18
Africa\shard0_32852.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_29358.jpg,outdoor,Africa,Africa,6,21
Africa\shard0_32029.jpg,outdoor,Africa,Africa,7,21
Africa\shard0_32934.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_00452.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_09201.jpg,outdoor,Africa,Africa,10,21
Africa\shard0_30379.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_31676.jpg,outdoor,Africa,Africa,6,21
Africa\shard0_31065.jpg,outdoor,Africa,Africa,5,19
Africa\shard0_30967.jpg,outdoor,Africa,Africa,10,17
Africa\shard0_33558.jpg,outdoor,Africa,Africa,5,19
Africa\shard0_30374.jpg,outdoor,Africa,Africa,7,22
Africa\shard0_32450.jpg,outdoor,Africa,Africa,12,21
Africa\shard0_32454.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_31862.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_31041.jpg,outdoor,Africa,Africa,12,21
Africa\shard0_20512.jpg,outdoor,Africa,Africa,11,21
Africa\shard0_30624.jpg,outdoor,Africa,Africa,10,17
Africa\shard0_31968.jpg,outdoor,Africa,Africa,5,19
Africa\shard0_31689.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_30790.jpg,outdoor,Africa,Africa,7,19
Africa\shard0_06271.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_31917.jpg,outdoor,Africa,Africa,9,17
Africa\shard0_06346.jpg,outdoor,Africa,Africa,12,19
Africa\shard0_31150.jpg,outdoor,Africa,Africa,9,21
Africa\shard0_19113.jpg,outdoor,Africa,Africa,12,19
Africa\shard0_00998.jpg,outdoor,Africa,Africa,9,21
Africa\shard0_31061.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_31994.jpg,outdoor,Africa,Africa,9,17
Africa\shard0_27589.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_31370.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_32222.jpg,outdoor,Africa,Africa,9,17
Africa\shard0_33369.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_31853.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_31322.jpg,outdoor,Africa,Africa,12,17
Africa\shard0_31836.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_33635.jpg,outdoor,Africa,Africa,9,17
Africa\shard0_30658.jpg,outdoor,Africa,Africa,5,19
Africa\shard0_32445.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_31913.jpg,outdoor,Africa,Africa,12,21
Africa\shard0_33851.jpg,outdoor,Africa,Africa,8,21
Africa\shard0_31184.jpg,outdoor,Africa,Africa,6,21
Africa\shard0_32330.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_33155.jpg,outdoor,Africa,Africa,6,20
Africa\shard0_25109.jpg,outdoor,Africa,Africa,12,21
