relative_path,scene_type,continent,label_name,lat_bin,lon_bin
outdoor-Europe\shard0_46331.jpg,outdoor,Europe,outdoor-Europe,15,33
outdoor-Europe\shard0_42474.jpg,outdoor,Europe,outdoor-Europe,15,23
outdoor-Europe\shard0_29166.jpg,outdoor,Europe,outdoor-Europe,14,18
outdoor-Europe\shard0_49014.jpg,outdoor,Europe,outdoor-Europe,13,20
outdoor-Europe\shard0_17090.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_17151.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_45962.jpg,outdoor,Europe,outdoor-Europe,14,19
outdoor-Europe\shard0_26580.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_10361.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_02011.jpg,outdoor,Europe,outdoor-Europe,13,17
outdoor-Europe\shard0_41064.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_01094.jpg,outdoor,Europe,outdoor-Europe,12,17
outdoor-Europe\shard0_05422.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_20368.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_16170.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_14063.jpg,outdoor,Europe,outdoor-Europe,15,20
outdoor-Europe\shard0_10350.jpg,outdoor,Europe,outdoor-Europe,12,20
outdoor-Europe\shard0_44562.jpg,outdoor,Europe,outdoor-Europe,15,23
outdoor-Europe\shard0_23698.jpg,outdoor,Europe,outdoor-Europe,13,17
outdoor-Europe\shard0_28953.jpg,outdoor,Europe,outdoor-Europe,13,20
outdoor-Europe\shard0_41134.jpg,outdoor,Europe,outdoor-Europe,15,22
outdoor-Europe\shard0_44629.jpg,outdoor,Europe,outdoor-Europe,13,20
outdoor-Europe\shard0_49043.jpg,outdoor,Europe,outdoor-Europe,13,20
outdoor-Europe\shard0_10876.jpg,outdoor,Europe,outdoor-Europe,14,19
outdoor-Europe\shard0_23375.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_00407.jpg,outdoor,Europe,outdoor-Europe,14,19
outdoor-Europe\shard0_02750.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_29178.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_25398.jpg,outdoor,Europe,outdoor-Europe,14,19
outdoor-Europe\shard0_03956.jpg,outdoor,Europe,outdoor-Europe,14,19
outdoor-Europe\shard0_27285.jpg,outdoor,Europe,outdoor-Europe,14,18
outdoor-Europe\shard0_27389.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_04773.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_05430.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_16303.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_02957.jpg,outdoor,Europe,outdoor-Europe,14,19
outdoor-Europe\shard0_05062.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_42638.jpg,outdoor,Europe,outdoor-Europe,15,22
outdoor-Europe\shard0_10440.jpg,outdoor,Europe,outdoor-Europe,14,19
outdoor-Europe\shard0_44471.jpg,outdoor,Europe,outdoor-Europe,14,30
outdoor-Europe\shard0_28168.jpg,outdoor,Europe,outdoor-Europe,14,18
outdoor-Europe\shard0_48464.jpg,outdoor,Europe,outdoor-Europe,15,22
outdoor-Europe\shard0_07649.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_43451.jpg,outdoor,Europe,outdoor-Europe,15,24
outdoor-Europe\shard0_46724.jpg,outdoor,Europe,outdoor-Europe,13,20
outdoor-Europe\shard0_23511.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_26267.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_25984.jpg,outdoor,Europe,outdoor-Europe,14,18
outdoor-Europe\shard0_41623.jpg,outdoor,Europe,outdoor-Europe,14,26
outdoor-Europe\shard0_18393.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_25700.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_15209.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_17076.jpg,outdoor,Europe,outdoor-Europe,14,18
outdoor-Europe\shard0_17366.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_02780.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_01902.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_25572.jpg,outdoor,Europe,outdoor-Europe,14,19
outdoor-Europe\shard0_24827.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_03908.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_05093.jpg,outdoor,Europe,outdoor-Europe,14,18
outdoor-Europe\shard0_24268.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_00287.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_11897.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_20209.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_25641.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_22757.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_48245.jpg,outdoor,Europe,outdoor-Europe,14,21
outdoor-Europe\shard0_22623.jpg,outdoor,Europe,outdoor-Europe,13,17
outdoor-Europe\shard0_17001.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_27997.jpg,outdoor,Europe,outdoor-Europe,14,19
outdoor-Europe\shard0_27842.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_47324.jpg,outdoor,Europe,outdoor-Europe,13,20
outdoor-Europe\shard0_06547.jpg,outdoor,Europe,outdoor-Europe,14,19
outdoor-Europe\shard0_25134.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_17430.jpg,outdoor,Europe,outdoor-Europe,13,17
outdoor-Europe\shard0_06297.jpg,outdoor,Europe,outdoor-Europe,14,19
outdoor-Europe\shard0_46436.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_01745.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_23803.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_45111.jpg,outdoor,Europe,outdoor-Europe,13,31
outdoor-Europe\shard0_10239.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_16177.jpg,outdoor,Europe,outdoor-Europe,14,18
outdoor-Europe\shard0_24288.jpg,outdoor,Europe,outdoor-Europe,13,20
outdoor-Europe\shard0_15677.jpg,outdoor,Europe,outdoor-Europe,12,20
outdoor-Europe\shard0_27126.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_18931.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_17331.jpg,outdoor,Europe,outdoor-Europe,14,19
outdoor-Europe\shard0_47111.jpg,outdoor,Europe,outdoor-Europe,13,20
outdoor-Europe\shard0_06800.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_14276.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_05878.jpg,outdoor,Europe,outdoor-Europe,14,19
outdoor-Europe\shard0_21197.jpg,outdoor,Europe,outdoor-Europe,14,19
outdoor-Europe\shard0_12038.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_06360.jpg,outdoor,Europe,outdoor-Europe,12,17
outdoor-Europe\shard0_02789.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_47768.jpg,outdoor,Europe,outdoor-Europe,13,20
outdoor-Europe\shard0_00235.jpg,outdoor,Europe,outdoor-Europe,12,17
outdoor-Europe\shard0_13830.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_23799.jpg,outdoor,Europe,outdoor-Europe,14,18
outdoor-Europe\shard0_00179.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_16914.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_04193.jpg,outdoor,Europe,outdoor-Europe,14,27
outdoor-Europe\shard0_11815.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_45357.jpg,outdoor,Europe,outdoor-Europe,14,26
outdoor-Europe\shard0_28102.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_19580.jpg,outdoor,Europe,outdoor-Europe,13,17
outdoor-Europe\shard0_02406.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_45725.jpg,outdoor,Europe,outdoor-Europe,15,21
outdoor-Europe\shard0_25907.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_26489.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_44685.jpg,outdoor,Europe,outdoor-Europe,14,21
outdoor-Europe\shard0_13949.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_05870.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_23650.jpg,outdoor,Europe,outdoor-Europe,14,18
outdoor-Europe\shard0_21809.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_01539.jpg,outdoor,Europe,outdoor-Europe,12,20
outdoor-Europe\shard0_23727.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_15546.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_00895.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_05328.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_00149.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_22747.jpg,outdoor,Europe,outdoor-Europe,15,15
outdoor-Europe\shard0_12373.jpg,outdoor,Europe,outdoor-Europe,14,24
outdoor-Europe\shard0_47293.jpg,outdoor,Europe,outdoor-Europe,13,17
outdoor-Europe\shard0_11092.jpg,outdoor,Europe,outdoor-Europe,14,28
outdoor-Europe\shard0_06907.jpg,outdoor,Europe,outdoor-Europe,12,20
outdoor-Europe\shard0_23597.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_06096.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_25705.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_48737.jpg,outdoor,Europe,outdoor-Europe,14,25
outdoor-Europe\shard0_41659.jpg,outdoor,Europe,outdoor-Europe,15,20
outdoor-Europe\shard0_11996.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_16379.jpg,outdoor,Europe,outdoor-Europe,13,17
outdoor-Europe\shard0_05336.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_22705.jpg,outdoor,Europe,outdoor-Europe,13,17
outdoor-Europe\shard0_41609.jpg,outdoor,Europe,outdoor-Europe,15,29
outdoor-Europe\shard0_10078.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_05981.jpg,outdoor,Europe,outdoor-Europe,14,19
outdoor-Europe\shard0_26109.jpg,outdoor,Europe,outdoor-Europe,13,20
outdoor-Europe\shard0_26805.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_00219.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_46060.jpg,outdoor,Europe,outdoor-Europe,12,20
outdoor-Europe\shard0_18245.jpg,outdoor,Europe,outdoor-Europe,14,18
outdoor-Europe\shard0_11413.jpg,outdoor,Europe,outdoor-Europe,14,20
outdoor-Europe\shard0_48205.jpg,outdoor,Europe,outdoor-Europe,14,34
outdoor-Europe\shard0_01565.jpg,outdoor,Europe,outdoor-Europe,14,18
outdoor-Europe\shard0_01327.jpg,outdoor,Europe,outdoor-Europe,12,20
outdoor-Europe\shard0_42932.jpg,outdoor,Europe,outdoor-Europe,15,24
outdoor-Europe\shard0_04004.jpg,outdoor,Europe,outdoor-Europe,15,16
outdoor-Europe\shard0_04753.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_23447.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_29466.jpg,outdoor,Europe,outdoor-Europe,13,17
outdoor-Europe\shard0_00647.jpg,outdoor,Europe,outdoor-Europe,13,20
outdoor-Europe\shard0_18828.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_29487.jpg,outdoor,Europe,outdoor-Europe,14,17
outdoor-Europe\shard0_19548.jpg,outdoor,Europe,outdoor-Europe,13,19
outdoor-Europe\shard0_17785.jpg,outdoor,Europe,outdoor-Europe,13,18
outdoor-Europe\shard0_41546.jpg,outdoor,Europe,outdoor-Europe,14,26
